El-array	Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In	Time	Stack	Rs-Check	Vab	Pab	Rab	Name	Channel	Tx-Bat	Rx-Bat	Temp.	Date	
Mixed/nonconventional	0	25	175	200	0	0	0	-84.48	0.01	0	1000	3	0	0	0	0	Proco2	1	0	12.03	26	19/02/2020	11:44:28
Mixed/nonconventional	10	35	185	210	195.33	0.81	0	3.12	-3.621	489.244	1000	3	0	360	176	0.7	Proco2	1	9.77	12.03	25	19/02/2020	11:48:06
Mixed/nonconventional	20	40	160	180	163.61	0.27	0	258.05	-3.373	435.223	1000	3	0	384	167	0.9	Proco2	1	9.89	12.03	25.5	19/02/2020	11:48:12
Mixed/nonconventional	20	45	195	220	197.43	0.42	0	176.02	-3.335	445.729	1000	3	0	378	169	0.8	Proco2	1	9.77	12.03	25.5	19/02/2020	11:48:18
Mixed/nonconventional	70	85	175	190	147.21	0	0	-525.59	-7.94	854.02	1000	3	0	223	191	0.3	Proco2	1	9.18	12.03	25.5	19/02/2020	11:48:24
Mixed/nonconventional	30	50	170	190	209.14	0.24	0	-525.3	-5.045	509.263	1000	3	0	344	175	0.7	Proco2	1	9.54	12.03	25.5	19/02/2020	11:48:30
Mixed/nonconventional	30	55	205	230	171.35	0.85	0	-70.67	-3.466	533.729	1000	3	0	331	177	0.6	Proco2	1	9.45	12.03	25.5	19/02/2020	11:48:36
Mixed/nonconventional	30	225	120	135	133.14	0.08	0	-40.11	35.524	528.081	1000	3	0	333	176	0.6	Proco2	1	9.42	12.03	25.5	19/02/2020	11:48:42
Mixed/nonconventional	40	60	200	180	184.77	0.22	0	59.9	4.508	515.133	1000	3	0	339	174	0.7	Proco2	1	9.42	12.03	25.5	19/02/2020	11:48:48
Mixed/nonconventional	40	60	180	160	150.56	0.17	0	-257.29	5.878	515.133	1000	3	0	339	174	0.7	Proco2	2	9.42	12.03	25.5	19/02/2020	11:48:48
