El-array	Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In	Time	Stack	Rs-Check	Vab	Pab	Rab	Name	Channel	Tx-Bat	Rx-Bat	Temp.	Date	
Mixed/nonconventional	0	25	175	200	41.17	4.8	0	557.78	-0.612	391.958	1000	6	0	395	155	1	Proco2	1	10.25	12.01	31.9	19/02/2020	13:03:49
Mixed/nonconventional	10	35	185	210	47.65	6.12	0	610.04	-0.435	240.768	1000	6	0	398	96	1.7	Proco2	1	11.15	11.98	32.4	19/02/2020	13:03:59
Mixed/nonconventional	20	40	160	180	72.95	0.98	0	-334.37	-2.064	597.294	1000	3	0	306	183	0.5	Proco2	1	9.66	12.01	31.9	19/02/2020	13:04:04
Mixed/nonconventional	20	45	195	220	85.85	2.5	0	180.07	-1.887	580.076	1000	6	0	311	180	0.5	Proco2	1	9.6	12.01	31.9	19/02/2020	13:04:14
Mixed/nonconventional	70	85	175	190	1627.92	147.53	0	628.09	-76.467	743.742	1000	6	0	253	188	0.3	Proco2	1	9.39	11.98	31.9	19/02/2020	13:04:24
Mixed/nonconventional	30	50	170	190	65.78	0.69	0	82.47	-1.793	575.534	1000	3	0	310	178	0.5	Proco2	1	9.57	12.01	31.9	19/02/2020	13:04:30
Mixed/nonconventional	30	55	205	230	91.09	1.68	0	11.97	-1.962	568.334	1000	6	0	314	178	0.6	Proco2	1	9.54	11.98	32.4	19/02/2020	13:04:40
Mixed/nonconventional	30	225	120	135	74.76	0.25	0	-265.75	14.533	384.753	1000	3	0	395	152	1	Proco2	1	10.07	12.01	31.9	19/02/2020	13:04:46
Mixed/nonconventional	40	60	200	180	70.69	0.53	0	-481.81	2.36	704.827	1000	3	0	262	184	0.4	Proco2	1	9.42	12.01	32.4	19/02/2020	13:04:52
Mixed/nonconventional	40	60	180	160	65.49	0.11	0	332.72	3.498	704.827	1000	3	0	262	184	0.4	Proco2	2	9.42	12.01	32.4	19/02/2020	13:04:52
Mixed/nonconventional	40	235	130	145	70.67	0.14	0	-84.21	19.636	549.909	1000	3	0	320	176	0.6	Proco2	1	9.54	12.01	31.9	19/02/2020	13:04:58
Mixed/nonconventional	50	70	210	190	80.69	1.15	0	39.55	2.79	729.987	1000	6	0	254	185	0.3	Proco2	1	9.36	11.98	31.9	19/02/2020	13:05:07
Mixed/nonconventional	50	70	190	170	65.81	0.92	0	-84.48	3.641	729.987	1000	6	0	254	185	0.3	Proco2	2	9.36	11.98	31.9	19/02/2020	13:05:07
Mixed/nonconventional	50	215	125	140	64.38	0.03	0	-159.79	28.989	636.531	1000	3	0	285	181	0.4	Proco2	1	9.42	12.01	31.9	19/02/2020	13:05:13
Mixed/nonconventional	60	75	165	180	58.28	0.98	0	-687.98	-2.558	695.081	1000	4	0	263	183	0.4	Proco2	1	9.36	12.01	31.9	19/02/2020	13:05:20
Mixed/nonconventional	60	80	220	200	69.56	0.54	0	283.86	2.36	716.225	1000	3	0	257	184	0.4	Proco2	1	9.36	12.01	32.4	19/02/2020	13:05:26
Mixed/nonconventional	60	80	200	180	67.09	0.05	0	-481.72	3.641	716.225	1000	3	0	257	184	0.4	Proco2	2	9.36	12.01	32.4	19/02/2020	13:05:26
