El-array	Spa.1	Spa.2	Spa.3	Spa.4	Rho	Dev.	M	Sp	Vp	In	Time	Stack	Rs-Check	Vab	Pab	Rab	Name	Channel	Tx-Bat	Rx-Bat	Temp.	Date	
Mixed/nonconventional	0	25	175	200	66.42	0.39	0	-32.23	-1.682	668.232	1000	3	0	282	188	0.4	Proco2	1	9.66	11.96	31.4	19/02/2020	14:23:39
Mixed/nonconventional	10	35	185	210	68.25	1.29	0	46.32	-1.746	674.942	1000	6	0	276	186	0.4	Proco2	1	9.51	11.96	31.4	19/02/2020	14:23:49
Mixed/nonconventional	20	40	160	180	43.5	0.51	0	-54.66	-1.221	592.466	1000	3	0	304	180	0.5	Proco2	1	9.57	11.98	30.9	19/02/2020	14:23:55
Mixed/nonconventional	20	45	195	220	66.28	5.42	0	826.83	-1.562	622.027	1000	6	0	292	181	0.5	Proco2	1	9.48	11.96	31.4	19/02/2020	14:24:05
Mixed/nonconventional	70	85	175	190	44.39	0.38	0	11.73	-1.618	577.284	1000	3	0	308	178	0.5	Proco2	1	9.54	11.98	30.9	19/02/2020	14:24:10
Mixed/nonconventional	30	50	170	190	50.44	0.13	0	21.24	-1.361	569.612	1000	3	0	311	177	0.5	Proco2	1	9.48	11.96	31.4	19/02/2020	14:24:16
Mixed/nonconventional	30	55	205	230	65.44	2.09	0	86.69	-1.197	482.711	1000	6	0	352	170	0.7	Proco2	1	9.63	11.98	31.4	19/02/2020	14:24:26
Mixed/nonconventional	30	225	120	135	63.54	0.09	0	299.07	21.001	654.161	1000	3	0	277	181	0.4	Proco2	1	9.39	11.96	30.9	19/02/2020	14:24:32
Mixed/nonconventional	40	60	200	180	57.89	0.23	0	6.95	1.195	435.941	1000	3	0	374	163	0.9	Proco2	1	9.71	11.98	30.9	19/02/2020	14:24:38
Mixed/nonconventional	40	60	180	160	36.49	0.23	0	54.47	1.206	435.941	1000	3	0	374	163	0.9	Proco2	2	9.71	11.98	30.9	19/02/2020	14:24:38
Mixed/nonconventional	40	235	130	145	78.43	0.09	0	277.62	19.922	502.754	1000	3	0	342	172	0.7	Proco2	1	9.57	11.98	30.9	19/02/2020	14:24:44
Mixed/nonconventional	50	70	210	190	53.22	0.12	0	-14.01	1.548	614.18	1000	3	0	292	179	0.5	Proco2	1	9.42	11.98	31.4	19/02/2020	14:24:50
Mixed/nonconventional	50	70	190	170	42.92	0.1	0	-21.03	1.998	614.18	1000	3	0	292	179	0.5	Proco2	2	9.42	11.98	31.4	19/02/2020	14:24:50
Mixed/nonconventional	50	215	125	140	64.74	0.22	0	-33.91	29.003	633.34	1000	3	0	284	180	0.4	Proco2	1	9.36	11.98	30.9	19/02/2020	14:24:56
Mixed/nonconventional	60	75	165	180	36.7	0.27	0	-4.55	-1.04	448.507	1000	3	0	369	166	0.8	Proco2	1	9.68	11.98	30.9	19/02/2020	14:25:02
Mixed/nonconventional	60	80	220	200	56.47	0.11	0	-112.69	0.89	332.801	1000	3	0	399	133	1.2	Proco2	1	10.34	11.96	30.9	19/02/2020	14:25:08
Mixed/nonconventional	60	80	200	180	53.6	0.15	0	7.73	1.352	332.801	1000	3	0	399	133	1.2	Proco2	2	10.34	11.96	30.9	19/02/2020	14:25:08
Mixed/nonconventional	60	225	135	150	68.97	0.08	0	-52.72	22.911	469.652	1000	3	0	360	169	0.8	Proco2	1	9.63	11.96	30.9	19/02/2020	14:25:14
Mixed/nonconventional	60	190	120	130	43.94	0.08	0	87.04	10.909	327.54	1000	3	0	399	131	1.2	Proco2	1	10.4	11.96	30.9	19/02/2020	14:25:19
Mixed/nonconventional	70	90	230	210	66.29	0.22	0	26.67	1.532	488.029	1000	3	0	346	169	0.7	Proco2	1	9.54	11.96	31.4	19/02/2020	14:25:25
Mixed/nonconventional	70	90	210	190	239.29	162.68	0	729.27	8.85	488.029	1000	3	0	346	169	0.7	Proco2	2	9.54	11.96	31.4	19/02/2020	14:25:25
Mixed/nonconventional	70	235	145	160	69.68	0.19	0	-49.28	28.815	584.63	1000	3	0	302	176	0.5	Proco2	1	9.39	11.96	31.4	19/02/2020	14:25:31
Mixed/nonconventional	70	200	130	140	54.97	0.1	0	270.89	26.706	641.067	1000	3	0	279	179	0.4	Proco2	1	9.33	11.98	30.9	19/02/2020	14:25:37
Mixed/nonconventional	70	180	120	130	37.62	0.04	0	87.54	27.149	680.159	1000	3	0	266	181	0.4	Proco2	1	9.27	11.98	31.4	19/02/2020	14:25:43
Mixed/nonconventional	80	95	200	185	47.96	47.14	0	-536.25	1.285	424.314	1000	6	0	378	160	0.9	Proco2	1	9.68	11.96	31.4	19/02/2020	14:25:53
Mixed/nonconventional	80	95	185	170	40.29	1.05	0	10.28	1.727	424.314	1000	6	0	378	160	0.9	Proco2	2	9.68	11.96	31.4	19/02/2020	14:25:53
Mixed/nonconventional	80	100	200	220	53.63	6.49	0	-361.34	-1.648	405.538	1000	6	0	385	156	1	Proco2	1	9.77	11.96	30.9	19/02/2020	14:26:03
Mixed/nonconventional	80	210	140	150	54.79	0.14	0	-110.84	16.174	389.484	1000	3	0	393	153	1	Proco2	1	9.89	11.96	30.9	19/02/2020	14:26:09
Mixed/nonconventional	80	190	130	140	48.28	0.21	0	271.23	16.052	313.355	1000	3	0	398	125	1.3	Proco2	1	10.43	11.96	30.9	19/02/2020	14:26:15
Mixed/nonconventional	90	105	210	195	43.97	39.41	0	-1152.26	0.912	328.593	1000	6	0	399	131	1.2	Proco2	1	10.31	11.96	30.9	19/02/2020	14:26:24
Mixed/nonconventional	90	105	195	180	40.15	2.35	0	1060.9	1.333	328.593	1000	6	0	399	131	1.2	Proco2	2	10.31	11.96	30.9	19/02/2020	14:26:24
Mixed/nonconventional	90	105	180	165	25.84	1.6	0	-360.94	1.502	328.593	1000	6	0	399	131	1.2	Proco2	3	10.31	11.96	30.9	19/02/2020	14:26:24
Mixed/nonconventional	90	110	210	230	52.74	6.4	0	-366.4	-1.4	350.227	1000	6	0	398	139	1.1	Proco2	1	10.13	11.96	30.9	19/02/2020	14:26:34
Mixed/nonconventional	90	220	150	160	59.4	0.2	0	69.92	22.959	510.005	1000	3	0	336	171	0.7	Proco2	1	9.48	11.96	30.9	19/02/2020	14:26:40
Mixed/nonconventional	90	200	140	150	47.12	0.21	0	-110.62	22.228	444.556	1000	3	0	369	164	0.8	Proco2	1	9.63	11.96	31.4	19/02/2020	14:26:46
Mixed/nonconventional	90	180	130	140	39.91	0.1	0	272.96	29.314	461.556	1000	3	0	361	166	0.8	Proco2	1	9.57	11.96	30.9	19/02/2020	14:26:52
Mixed/nonconventional	100	115	220	205	43.31	6.91	0	-382.59	1.309	478.55	1000	6	0	349	167	0.7	Proco2	1	9.51	11.96	31.4	19/02/2020	14:27:02
Mixed/nonconventional	100	115	205	190	42.2	2.08	0	458.57	2.041	478.55	1000	6	0	349	167	0.7	Proco2	2	9.51	11.96	31.4	19/02/2020	14:27:02
Mixed/nonconventional	100	115	190	175	29.72	0.87	0	-373.69	2.515	478.55	1000	6	0	349	167	0.7	Proco2	3	9.51	11.96	31.4	19/02/2020	14:27:02
Mixed/nonconventional	100	230	160	170	48.86	0.07	0	-35.99	17.576	474.645	1000	3	0	353	168	0.7	Proco2	1	9.54	11.96	31.4	19/02/2020	14:27:08
Mixed/nonconventional	100	210	150	160	51.63	0.03	0	70.38	26.399	481.908	1000	3	0	349	168	0.7	Proco2	1	9.51	11.96	31.4	19/02/2020	14:27:14
Mixed/nonconventional	100	190	140	150	39.9	0.15	0	-110.95	24.94	392.72	1000	3	0	391	154	1	Proco2	1	9.83	11.96	31.4	19/02/2020	14:27:20
Mixed/nonconventional	110	220	160	170	41.66	0.2	0	-35.82	21.868	494.732	1000	3	0	344	170	0.7	Proco2	1	9.45	11.96	30.9	19/02/2020	14:27:26
Mixed/nonconventional	110	200	150	160	42.19	0.1	0	70.87	29.168	434.392	1000	3	0	373	162	0.9	Proco2	1	9.66	11.96	31.4	19/02/2020	14:27:31
Mixed/nonconventional	110	180	140	150	31.06	0.12	0	-110.85	37.177	451.194	1000	3	0	365	165	0.8	Proco2	1	9.6	11.96	31.4	19/02/2020	14:27:37
Mixed/nonconventional	0	195	90	105	60.79	0.14	0	701.5	21.068	685.966	1000	3	0	263	181	0.4	Proco2	1	9.24	11.96	31.4	19/02/2020	14:27:43
Mixed/nonconventional	10	205	100	115	58.61	0.91	0	929.99	15.746	531.709	1000	3	0	322	171	0.6	Proco2	1	9.39	11.96	31.4	19/02/2020	14:27:49
